A200,20180508,100.74,100.77,100.74,100.74,5064
A200,20180509,100.65,100.84,100.5,100.77,9577
A200,20180510,101.38,101.38,100.98,101.01,2498
A200,20180511,101.13,101.27,100.91,100.91,6466
A200,20180514,101.26,101.41,101.26,101.41,89204
A200,20180515,101.44,101.44,100.96,100.96,15610
A200,20180516,100.99,101.45,100.99,101.14,811
A200,20180517,101.33,101.33,100.85,100.85,2295
A200,20180518,101.6,101.6,100.9,100.91,12845
A200,20180521,100.87,101.1,100.8,101.09,8877
A200,20180522,100.77,100.77,100,100.15,7445
A200,20180523,100.2,100.2,100,100.19,7569
A200,20180524,99.95,100.12,99.8,100.12,1564
A200,20180525,99.79,100.12,99.79,99.99,4771
A200,20180528,99.91,99.91,99.51,99.6,727
A200,20180529,99.62,99.87,99.55,99.84,11028
A200,20180530,99.06,99.3,98.97,99.3,3604
A200,20180531,100.05,100.05,99.7,99.75,1951
A200,20180601,99.1,99.31,99.1,99.31,3100
A200,20180604,100.05,100.19,99.85,99.91,5952
A200,20180605,99.6,99.65,99.3,99.54,1182
A200,20180606,99.72,99.94,99.72,99.92,889
A200,20180607,100.11,100.7,100.11,100.66,335
A200,20180608,100.39,100.57,100.31,100.31,2182
A200,20180612,100.6,100.62,100.44,100.44,1546
A200,20180613,100.25,100.25,99.72,99.72,1185
A200,20180614,99.85,100.19,99.72,99.92,3069
A200,20180615,100.83,101.16,100.83,101.14,2150
A200,20180618,101.15,101.19,101.08,101.08,229
A200,20180619,101.76,101.93,101.48,101.48,6951
A200,20180620,101.93,102.09,101.86,102,10685
A200,20180621,103.21,103.64,103.21,103.6,3757
A200,20180622,103.13,103.59,103.13,103.28,4965
A200,20180625,103.62,103.62,103.09,103.11,2121
A200,20180626,102.3,102.82,102.25,102.77,1644
A200,20180627,103.08,103.08,102.82,102.82,9470
A200,20180628,102.82,103.24,102.73,103.24,10633
A200,20180629,103.3,103.43,103.24,103.39,2509
A200,20180702,103.18,103.36,102.6,102.6,4191
A200,20180703,102.64,103.03,102.64,103.03,2040
A200,20180704,103,103,102.5,102.55,610
A200,20180705,102.87,103.19,102.87,103.19,104082
A200,20180706,103.42,104.13,103.34,104.13,10331
A200,20180710,104.74,104.74,103.98,103.98,11044
A200,20180711,103.4,103.4,103.25,103.33,691
A200,20180712,103.58,104.15,103.58,104.15,2669
A200,20180713,104.2,104.3,103.91,103.91,905
A200,20180716,104.1,104.1,103.59,103.59,10103
A200,20180717,103.34,103.48,102.99,102.99,1102
A200,20180718,103.83,103.86,103.58,103.61,831
A200,20180719,103.61,104.16,103.61,104.1,500
A200,20180720,103.9,104.35,103.9,104.34,52288
A200,20180723,103.57,103.57,103.33,103.33,3587
A200,20180724,103.72,104.03,103.72,104.03,387
A200,20180725,104,104,103.57,103.62,1608
A200,20180726,103.7,103.76,103.16,103.71,2461
A200,20180727,104.59,104.61,104.47,104.56,460
A200,20180730,104.12,104.28,103.92,104.28,1136
A200,20180731,104.4,104.48,104.13,104.27,1895
A200,20180801,104.35,104.42,104.21,104.27,6575
A200,20180802,104.26,104.26,103.68,103.68,14703
A200,20180803,104,104.06,103.56,103.56,10666
A200,20180806,103.97,104.36,103.97,104.16,2017
A200,20180807,104.06,104.06,103.73,103.74,1374
A200,20180808,104,104.21,103.9,104.07,4305
A200,20180809,104.11,104.85,104.11,104.64,809
A200,20180810,104.87,104.87,104.47,104.47,4565
A200,20180813,103.92,103.92,103.74,103.75,2665
A200,20180814,104.33,104.8,104.33,104.69,1499
A200,20180816,104.75,105.39,104.7,105.39,2714
A200,20180817,105.3,105.7,105.3,105.49,904
A200,20180820,106,106,105.81,105.81,3431
A200,20180821,105.89,105.89,104.8,104.9,5351
A200,20180822,104.61,104.61,104.38,104.5,2598
A200,20180823,104.5,104.6,104.3,104.32,2682
A200,20180824,104.58,104.64,104.28,104.5,2928
A200,20180827,104.39,104.68,104.15,104.68,2882
A200,20180828,105.38,105.58,105.38,105.39,4122
A200,20180829,105.45,105.94,105.45,105.94,3107
A200,20180830,106.53,106.64,106.33,106.39,1526
A200,20180831,106.21,106.21,105.92,105.92,26428
A200,20180903,105.99,105.99,105.78,105.86,1155
A200,20180904,105.73,105.73,105.03,105.27,11292
