PIXX,20170914,5.03,5.03,5.01,5.01,449596
PIXX,20170915,5,5.01,4.99,5,440759
PIXX,20170918,5.01,5.01,5.01,5.01,228553
PIXX,20170919,5.04,5.05,5.03,5.03,297565
PIXX,20170920,5.02,5.03,5.01,5.02,185723
PIXX,20170921,5.03,5.04,5.02,5.03,86658
PIXX,20170922,5.08,5.08,5.04,5.04,358298
PIXX,20170925,5.05,5.05,5.03,5.03,168762
PIXX,20170926,5.02,5.02,5.01,5.01,255181
PIXX,20170927,5.05,5.06,5.04,5.06,157266
PIXX,20170928,5.06,5.1,5.06,5.1,255790
PIXX,20170929,5.08,5.09,5.08,5.09,102567
PIXX,20171002,5.1,5.13,5.09,5.13,189222
PIXX,20171003,5.18,5.23,5.18,5.23,263056
PIXX,20171004,5.21,5.21,5.13,5.14,297820
PIXX,20171005,5.14,5.18,5.14,5.18,343528
PIXX,20171006,5.2,5.26,5.2,5.25,394878
PIXX,20171009,5.21,5.22,5.21,5.22,300482
PIXX,20171010,5.22,5.23,5.21,5.23,409808
PIXX,20171011,5.22,5.24,5.21,5.23,319343
PIXX,20171012,5.24,5.24,5.22,5.23,255620
PIXX,20171013,5.21,5.21,5.19,5.21,276082
PIXX,20171016,5.25,5.25,5.19,5.2,335638
PIXX,20171017,5.23,5.24,5.22,5.23,278827
PIXX,20171018,5.2,5.21,5.2,5.21,358340
PIXX,20171019,5.24,5.24,5.22,5.23,448381
PIXX,20171020,5.18,5.22,5.17,5.22,295899
PIXX,20171023,5.24,5.25,5.2,5.24,218730
PIXX,20171024,5.24,5.27,5.23,5.27,104786
PIXX,20171025,5.26,5.31,5.26,5.31,364450
PIXX,20171026,5.32,5.34,5.32,5.34,318977
PIXX,20171027,5.35,5.37,5.34,5.36,255202
PIXX,20171030,5.35,5.36,5.33,5.34,459002
PIXX,20171031,5.31,5.39,5.31,5.39,131086
PIXX,20171101,5.41,5.45,5.41,5.45,243249
PIXX,20171102,5.45,5.45,5.43,5.43,298254
PIXX,20171103,5.42,5.44,5.42,5.43,297701
PIXX,20171106,5.47,5.47,5.44,5.44,181229
PIXX,20171107,5.45,5.47,5.45,5.47,356115
PIXX,20171108,5.46,5.48,5.46,5.47,211533
PIXX,20171109,5.43,5.46,5.43,5.44,231603
PIXX,20171110,5.43,5.46,5.43,5.44,231603
PIXX,20171113,5.46,5.47,5.43,5.44,170650
PIXX,20171114,5.45,5.45,5.41,5.43,146625
PIXX,20171115,5.4,5.43,5.38,5.41,133672
PIXX,20171116,5.41,5.44,5.41,5.44,228634
PIXX,20171117,5.45,5.49,5.45,5.49,88718
PIXX,20171120,5.48,5.49,5.45,5.47,169039
PIXX,20171121,5.5,5.53,5.5,5.53,192821
PIXX,20171122,5.55,5.56,5.54,5.56,152266
PIXX,20171123,5.52,5.53,5.5,5.52,314449
PIXX,20171124,5.51,5.52,5.5,5.52,305868
PIXX,20171127,5.54,5.54,5.5,5.51,450803
PIXX,20171128,5.48,5.49,5.46,5.46,218011
PIXX,20171129,5.5,5.5,5.46,5.5,188043
PIXX,20171130,5.49,5.5,5.45,5.46,396064
PIXX,20171201,5.47,5.48,5.45,5.46,229745
PIXX,20171204,5.44,5.47,5.43,5.47,117935
PIXX,20171205,5.41,5.41,5.39,5.4,454285
PIXX,20171206,5.4,5.43,5.39,5.39,201399
PIXX,20171207,5.4,5.43,5.39,5.42,165058
PIXX,20171208,5.44,5.47,5.42,5.47,150267
PIXX,20171211,5.45,5.49,5.45,5.49,263174
PIXX,20171212,5.52,5.54,5.5,5.53,339787
PIXX,20171213,5.48,5.48,5.43,5.44,316829
PIXX,20171214,5.44,5.46,5.4,5.43,281484
PIXX,20171215,5.41,5.41,5.36,5.38,355550
PIXX,20171218,5.42,5.43,5.38,5.42,867890
PIXX,20171219,5.44,5.46,5.42,5.44,400407
PIXX,20171220,5.46,5.47,5.44,5.47,274573
PIXX,20171221,5.47,5.48,5.44,5.48,347255
PIXX,20171222,5.45,5.47,5.44,5.45,243995
PIXX,20171227,5.5,5.5,5.42,5.45,51186
PIXX,20171228,5.44,5.45,5.4,5.4,122056
PIXX,20171229,5.4,5.46,5.4,5.41,31672
PIXX,20180102,5.44,5.49,5.43,5.46,34317
PIXX,20180103,5.49,5.51,5.47,5.5,80619
PIXX,20180104,5.51,5.55,5.5,5.55,70067
PIXX,20180105,5.53,5.55,5.52,5.53,79026
PIXX,20180108,5.57,5.59,5.54,5.56,234429
PIXX,20180109,5.6,5.6,5.55,5.56,207868
PIXX,20180110,5.62,5.62,5.57,5.58,170928
PIXX,20180111,5.59,5.59,5.55,5.56,289741
PIXX,20180112,5.57,5.59,5.54,5.56,121872
PIXX,20180115,5.61,5.63,5.59,5.62,179184
PIXX,20180116,5.59,5.62,5.57,5.62,179428
PIXX,20180117,5.57,5.57,5.53,5.55,331432
PIXX,20180118,5.57,5.62,5.57,5.61,186430
PIXX,20180119,5.59,5.6,5.54,5.58,375297
PIXX,20180122,5.63,5.64,5.6,5.6,167893
PIXX,20180123,5.65,5.71,5.65,5.7,147739
PIXX,20180124,5.7,5.72,5.67,5.67,227187
PIXX,20180125,5.65,5.67,5.62,5.65,223871
PIXX,20180129,5.63,5.69,5.63,5.68,333721
PIXX,20180130,5.64,5.64,5.55,5.6,281974
PIXX,20180131,5.57,5.62,5.57,5.61,233900
PIXX,20180201,5.61,5.64,5.6,5.64,167476
PIXX,20180202,5.6,5.62,5.59,5.62,166103
PIXX,20180205,5.58,5.62,5.49,5.54,404611
PIXX,20180207,5.47,5.48,5.42,5.42,337081
PIXX,20180208,5.46,5.46,5.41,5.45,208766
PIXX,20180209,5.36,5.4,5.32,5.36,436177
PIXX,20180212,5.31,5.37,5.3,5.36,190256
