GROW,20160816,3.52,3.52,3.52,3.52,47100
GROW,20160817,3.52,3.52,3.52,3.52,710
GROW,20160818,3.53,3.53,3.52,3.52,12000
GROW,20160822,3.53,3.53,3.53,3.53,0
GROW,20160823,3.53,3.53,3.53,3.53,0
GROW,20160824,3.54,3.54,3.54,3.54,8200
GROW,20160825,3.54,3.54,3.54,3.54,0
GROW,20160826,3.53,3.53,3.53,3.53,36700
GROW,20160829,3.54,3.55,3.54,3.55,32500
GROW,20160830,3.55,3.55,3.55,3.55,0
GROW,20160831,3.55,3.55,3.55,3.55,0
GROW,20160901,3.52,3.52,3.52,3.52,9041
GROW,20160902,3.52,3.52,3.52,3.52,0
GROW,20160905,3.52,3.52,3.52,3.52,0
GROW,20160906,3.52,3.52,3.52,3.52,0
GROW,20160907,3.54,3.54,3.53,3.53,33200
GROW,20160908,3.52,3.52,3.52,3.52,14200
GROW,20160909,3.52,3.52,3.52,3.52,0
GROW,20160912,3.5,3.5,3.5,3.5,10450
GROW,20160913,3.5,3.5,3.5,3.5,0
GROW,20160914,3.5,3.5,3.5,3.5,5000
GROW,20160915,3.51,3.51,3.51,3.51,85000
GROW,20160916,3.51,3.51,3.51,3.51,2800
GROW,20160919,3.52,3.52,3.52,3.52,145
GROW,20160920,3.51,3.51,3.51,3.51,1424
GROW,20160921,3.51,3.51,3.51,3.51,0
GROW,20160922,3.52,3.52,3.52,3.52,5000
GROW,20160923,3.52,3.52,3.52,3.52,0
GROW,20160926,3.52,3.52,3.52,3.52,0
GROW,20160927,3.52,3.52,3.52,3.52,23870
GROW,20160928,3.52,3.52,3.52,3.52,0
GROW,20160929,3.52,3.52,3.52,3.52,0
GROW,20160930,3.52,3.52,3.52,3.52,0
GROW,20161003,3.52,3.52,3.52,3.52,0
GROW,20161004,3.53,3.53,3.53,3.53,5105
GROW,20161005,3.53,3.53,3.53,3.53,10940
GROW,20161006,3.53,3.53,3.53,3.53,0
GROW,20161007,3.52,3.52,3.52,3.52,5660
GROW,20161010,3.53,3.53,3.53,3.53,2179
GROW,20161011,3.53,3.53,3.53,3.53,15021
GROW,20161012,3.53,3.54,3.53,3.54,5528
GROW,20161013,3.54,3.54,3.54,3.54,0
GROW,20161014,3.53,3.53,3.53,3.53,18361
GROW,20161017,3.52,3.52,3.52,3.52,18420
GROW,20161018,3.52,3.52,3.52,3.52,0
GROW,20161019,3.53,3.53,3.53,3.53,16000
GROW,20161020,3.53,3.53,3.53,3.53,0
GROW,20161021,3.53,3.53,3.53,3.53,0
GROW,20161024,3.53,3.53,3.53,3.53,23347
GROW,20161025,3.54,3.54,3.54,3.54,33045
GROW,20161026,3.54,3.54,3.54,3.54,0
GROW,20161027,3.53,3.53,3.53,3.53,5000
GROW,20161028,3.52,3.52,3.52,3.52,5000
GROW,20161031,3.52,3.52,3.52,3.52,0
GROW,20161101,3.51,3.51,3.51,3.51,7500
GROW,20161102,3.51,3.51,3.51,3.51,1425
GROW,20161103,3.51,3.51,3.51,3.51,500
GROW,20161104,3.5,3.5,3.5,3.5,2850
GROW,20161107,3.5,3.5,3.5,3.5,0
GROW,20161108,3.5,3.5,3.5,3.5,0
GROW,20161109,3.5,3.5,3.5,3.5,56700
GROW,20161110,3.5,3.5,3.5,3.5,0
GROW,20161111,3.5,3.5,3.5,3.5,0
GROW,20161114,3.51,3.51,3.51,3.51,26305
GROW,20161115,3.51,3.51,3.51,3.51,0
GROW,20161116,3.51,3.51,3.51,3.51,0
GROW,20161117,3.51,3.51,3.51,3.51,0
GROW,20161118,3.54,3.54,3.54,3.54,3758
GROW,20161121,3.54,3.55,3.54,3.55,20400
GROW,20161122,3.55,3.55,3.55,3.55,1400
GROW,20161123,3.56,3.56,3.56,3.56,7500
GROW,20161124,3.56,3.56,3.56,3.56,0
GROW,20161125,3.56,3.56,3.56,3.56,0
GROW,20161128,3.56,3.56,3.56,3.56,0
GROW,20161129,3.56,3.56,3.56,3.56,0
GROW,20161130,3.56,3.56,3.54,3.54,67650
GROW,20161201,3.56,3.56,3.56,3.56,11150
GROW,20161202,3.56,3.56,3.56,3.56,0
GROW,20161205,3.54,3.54,3.54,3.54,84720
GROW,20161206,3.54,3.54,3.54,3.54,0
GROW,20161207,3.54,3.54,3.54,3.54,0
GROW,20161208,3.57,3.57,3.57,3.57,6693
GROW,20161209,3.57,3.57,3.57,3.57,7000
GROW,20161212,3.57,3.57,3.57,3.57,6000
GROW,20161213,3.57,3.57,3.57,3.57,20000
GROW,20161214,3.57,3.57,3.57,3.57,0
GROW,20161215,3.56,3.56,3.56,3.56,28000
GROW,20161216,3.57,3.57,3.57,3.57,12743
